playlist_id,user_id,name,creation_date
1,78,Big Playlist,2025-01-11
2,31,Dog Playlist,2025-01-22
3,64,Dog Playlist,2024-03-03
4,34,Many Playlist,2024-08-03
5,78,Such Playlist,2025-02-25
6,57,Standard Playlist,2023-12-10
7,49,Nearly Playlist,2024-11-22
8,14,That Playlist,2023-05-24
9,37,Or Playlist,2023-10-11
10,36,In Playlist,2023-08-21
11,34,Music Playlist,2023-12-20
12,42,Near Playlist,2023-11-23
13,41,Eat Playlist,2023-12-05
14,1,Trip Playlist,2023-10-12
15,33,Him Playlist,2024-05-26
16,22,So Playlist,2025-01-08
17,76,Recently Playlist,2024-07-04
18,59,Special Playlist,2024-03-03
19,13,How Playlist,2024-03-31
20,62,Bag Playlist,2024-08-27
21,39,Hope Playlist,2024-01-04
22,4,Feeling Playlist,2023-11-07
23,12,Environment Playlist,2024-03-01
24,78,Herself Playlist,2023-06-15
25,61,Including Playlist,2024-06-14
26,73,Hold Playlist,2023-07-01
27,50,These Playlist,2024-11-07
28,72,Than Playlist,2023-06-24
29,15,Spring Playlist,2024-01-18
30,10,Boy Playlist,2024-05-23
31,79,Reduce Playlist,2024-10-12
32,40,Property Playlist,2024-10-22
33,30,Rate Playlist,2023-10-24
34,53,Once Playlist,2024-04-14
35,31,Story Playlist,2023-09-27
36,51,Republican Playlist,2023-08-30
37,29,Step Playlist,2023-08-25
38,39,Drop Playlist,2024-01-01
39,1,Defense Playlist,2024-09-01
40,49,Fine Playlist,2025-04-27
41,5,Guy Playlist,2024-02-25
42,68,Church Playlist,2023-11-24
43,51,Somebody Playlist,2024-10-19
44,8,Again Playlist,2023-10-08
45,6,Baby Playlist,2025-02-10
46,9,Type Playlist,2024-08-02
47,38,Final Playlist,2024-03-23
48,38,Or Playlist,2024-03-13
49,29,Cause Playlist,2025-03-11
50,37,Care Playlist,2024-06-29
